parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.0163,Gulfport-Biloxi-Pascagoula MS
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Tallahassee FL
Arsenic PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Tulsa OK
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Tallahassee FL
Vinyl chloride,2012,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
12-Dichloropropane,2001,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Formaldehyde,1996,Parts per billion Carbon,6,San Diego-Carlsbad CA
Formaldehyde,2002,Parts per billion Carbon,0.3,Seattle-Tacoma-Bellevue WA
Ethylene dibromide,2005,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0.001,
Manganese PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Anchorage AK
Dichloromethane,2009,Parts per billion Carbon,0.07,El Paso TX
Nickel PM10 STP,2008,Nanograms/cubic meter (25 C),2.55,Seattle-Tacoma-Bellevue WA
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0,
trans-13-Dichloropropene,2009,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Arsenic PM2.5 LC,1991,Micrograms/cubic meter (LC),0,
12-Dichloropropane,2007,Parts per billion Carbon,0,Elkhart-Goshen IN
Cadmium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Austin-Round Rock TX
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Seattle-Tacoma-Bellevue WA
Carbon tetrachloride,2007,Parts per billion Carbon,0.1,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Dallas-Fort Worth-Arlington TX
Mercury PM10 STP,2013,Nanograms/cubic meter (25 C),0.03,Huntington-Ashland WV-KY-OH
Chromium (TSP) STP,1995,Micrograms/cubic meter (25 C),0,Columbia SC
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Emporia KS
Manganese (TSP) STP,1992,Micrograms/cubic meter (25 C),0.012,Fort Wayne IN
Cadmium (TSP) STP,2003,Micrograms/cubic meter (25 C),0,St. Louis MO-IL
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Port Angeles WA
Nickel PM2.5 LC,1991,Micrograms/cubic meter (LC),0.00157,San Jose-Sunnyvale-Santa Clara CA
trans-13-Dichloropropene,2012,Parts per billion Carbon,0,El Paso TX
Manganese PM2.5 LC,2008,Micrograms/cubic meter (LC),0,San Jose-Sunnyvale-Santa Clara CA
Lead PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Toledo OH
Vinyl chloride,2007,Parts per billion Carbon,0,Marietta OH
Ethylene dichloride,2013,Parts per billion Carbon,0,
Benzene,2016,Parts per billion Carbon,2.170455,Houston-The Woodlands-Sugar Land TX
Lead PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Denver-Aurora-Lakewood CO
Manganese PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,
Benzene,2013,Parts per billion Carbon,1.308,San Diego-Carlsbad CA
Tetrachloroethylene,2012,Parts per billion Carbon,0.14,Portland-South Portland ME
Benzene,2002,Parts per billion Carbon,1.062727,Springfield MA
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Grants Pass OR
Chromium PM2.5 LC,2001,Micrograms/cubic meter (LC),0,Kahului-Wailuku-Lahaina HI
Cadmium (TSP) STP,2004,Micrograms/cubic meter (25 C),0,Salisbury MD-DE
Benzene,2011,Parts per billion Carbon,1.62,Beaumont-Port Arthur TX
Ethylene dichloride,2012,Parts per billion Carbon,0.02,Brownsville-Harlingen TX
Chromium (TSP) STP,2016,Micrograms/cubic meter (25 C),0.002,Virginia Beach-Norfolk-Newport News VA-NC
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Kingsport-Bristol-Bristol TN-VA
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,El Paso TX
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00017,Phoenix-Mesa-Scottsdale AZ
12-Dichloropropane,2010,Parts per billion Carbon,0,Providence-Warwick RI-MA
Dichloromethane,1995,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Springfield MA
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00325,Branson MO
Chloroform,1995,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Arsenic PM2.5 LC,2013,Micrograms/cubic meter (LC),0,
Arsenic PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Crescent City CA
13-Butadiene,2013,Parts per billion Carbon,0.38,Houston-The Woodlands-Sugar Land TX
trans-13-Dichloropropene,2015,Parts per billion Carbon,0.04,Miami-Fort Lauderdale-West Palm Beach FL
Chromium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,
Carbon tetrachloride,2012,Parts per billion Carbon,0.1,Houston-The Woodlands-Sugar Land TX
Cadmium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Albany-Schenectady-Troy NY
Dichloromethane,2009,Parts per billion Carbon,0.089,San Diego-Carlsbad CA
Tetrachloroethylene,2011,Parts per billion Carbon,0.01,Tampa-St. Petersburg-Clearwater FL
Chromium (TSP) STP,1992,Micrograms/cubic meter (25 C),0.005,Albany-Schenectady-Troy NY
Carbon tetrachloride,2006,Parts per billion Carbon,0.09,Santa Rosa CA
Acetaldehyde,2002,Parts per billion Carbon,5.485714,Los Angeles-Long Beach-Anaheim CA
Chromium VI (TSP) STP,2012,Micrograms/cubic meter (25 C),0,Burlington-South Burlington VT
Trichloroethylene,2006,Parts per billion Carbon,0.04,Knoxville TN
Chromium (TSP) STP,2012,Micrograms/cubic meter (25 C),0.007,San Jose-Sunnyvale-Santa Clara CA
Ethylene dichloride,2015,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,Point Pleasant WV-OH
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Albany-Schenectady-Troy NY
Nickel PM2.5 LC,2016,Micrograms/cubic meter (LC),0.002,Las Vegas-Henderson-Paradise NV
Acetaldehyde,2013,Parts per billion Carbon,1.6,New York-Newark-Jersey City NY-NJ-PA
Benzene,2006,Parts per billion Carbon,1.3,Baton Rouge LA
Cadmium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Fresno CA
Manganese (TSP) STP,1999,Micrograms/cubic meter (25 C),0.011,Columbia SC
Trichloroethylene,2002,Parts per billion Carbon,0.1,El Centro CA
Ethylene dibromide,2010,Parts per billion Carbon,0,Atlanta-Sandy Springs-Roswell GA
12-Dichloropropane,2005,Parts per billion Carbon,0,Madison WI
Lead PM10 STP,1996,Micrograms/cubic meter (25 C),0,
Chromium PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00062,Redding CA
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0.00339,Dayton OH
Dichloromethane,2007,Parts per billion Carbon,0,Indianapolis-Carmel-Anderson IN
Benzene,2010,Parts per billion Carbon,1.2,Virginia Beach-Norfolk-Newport News VA-NC
Carbon tetrachloride,2000,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Nickel PM2.5 LC,2008,Micrograms/cubic meter (LC),0.0016,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,Lubbock TX
1122-Tetrachloroethane,2002,Parts per billion Carbon,0,Mobile AL
Ethylene dichloride,2016,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Nickel PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0.0452,New York-Newark-Jersey City NY-NJ-PA
Chromium PM2.5 LC,2001,Micrograms/cubic meter (LC),0.002,Fargo ND-MN
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,
12-Dichloropropane,2005,Parts per billion Carbon,0.02,Austin-Round Rock TX
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Tallahassee FL
12-Dichloropropane,2013,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0.0002,Riverside-San Bernardino-Ontario CA
Lead PM2.5 LC,1997,Micrograms/cubic meter (LC),0.0006,Los Alamos NM
Dichloromethane,2001,Parts per billion Carbon,0.21,
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Baltimore-Columbia-Towson MD
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Asheville NC
Chromium PM10 STP,2005,Nanograms/cubic meter (25 C),5.8,Detroit-Warren-Dearborn MI
Carbon tetrachloride,2001,Parts per billion Carbon,0.1,San Francisco-Oakland-Hayward CA
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Port Angeles WA
Ethylene dichloride,2003,Parts per billion Carbon,0.01,Dallas-Fort Worth-Arlington TX
13-Butadiene,1997,Parts per billion Carbon,0.5,Sacramento--Roseville--Arden-Arcade CA
1122-Tetrachloroethane,2003,Parts per billion Carbon,0,Rutland VT
Dichloromethane,2004,Parts per billion Carbon,0.09,Richmond VA
Cadmium (TSP) STP,2008,Micrograms/cubic meter (25 C),0,Virginia Beach-Norfolk-Newport News VA-NC
13-Butadiene,2012,Parts per billion Carbon,0.209091,Dallas-Fort Worth-Arlington TX
1122-Tetrachloroethane,2003,Parts per billion Carbon,0,Mobile AL
Acetaldehyde,2016,Parts per billion Carbon,0.8,Rochester NY
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0.002,
Tetrachloroethylene,1991,Parts per billion Carbon,0.4,Baton Rouge LA
Ethylene dibromide,2004,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0.001,Milwaukee-Waukesha-West Allis WI
Nickel PM2.5 LC,2007,Micrograms/cubic meter (LC),0,
Chloroform,1998,Parts per billion Carbon,0,Midland MI
Carbon tetrachloride,2008,Parts per billion Carbon,0.1,Beaumont-Port Arthur TX
Acetaldehyde,2015,Parts per billion Carbon,4.4,Providence-Warwick RI-MA
Ethylene dichloride,2006,Parts per billion Carbon,0.01,El Paso TX
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,Sierra Vista-Douglas AZ
Vinyl chloride,1993,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Acetaldehyde,1996,Parts per billion Carbon,1.4,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,1999,Micrograms/cubic meter (LC),0,Laramie WY
13-Butadiene,2000,Parts per billion Carbon,0.68,Baltimore-Columbia-Towson MD
Manganese PM2.5 LC,2011,Micrograms/cubic meter (LC),0.006,Dallas-Fort Worth-Arlington TX
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,Point Pleasant WV-OH
Trichloroethylene,2014,Parts per billion Carbon,0,La Grande OR
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,New York-Newark-Jersey City NY-NJ-PA
12-Dichloropropane,2016,Parts per billion Carbon,0,Huntington-Ashland WV-KY-OH
Vinyl chloride,2012,Parts per billion Carbon,0,Tulsa OK
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0,
Chromium PM2.5 LC,1997,Micrograms/cubic meter (LC),0.00083,Laramie WY
Carbon tetrachloride,1994,Parts per billion Carbon,0.18,Amarillo TX
Dichloromethane,2013,Parts per billion Carbon,0.11,Portland-Vancouver-Hillsboro OR-WA
Benzene,2000,Parts per billion Carbon,4.312632,Odessa TX
Acrolein - Unverified,2015,Parts per billion Carbon,0.4,Buffalo-Cheektowaga-Niagara Falls NY
Vinyl chloride,1993,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Chloroform,2016,Parts per billion Carbon,0,Indianapolis-Carmel-Anderson IN
13-Butadiene,1995,Parts per billion Carbon,0,Birmingham-Hoover AL
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Dichloromethane,1998,Parts per billion Carbon,0,Brownsville-Harlingen TX
Nickel PM10 STP,2005,Nanograms/cubic meter (25 C),3,Detroit-Warren-Dearborn MI
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.00012,Gulfport-Biloxi-Pascagoula MS
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Birmingham-Hoover AL
Trichloroethylene,2009,Parts per billion Carbon,0,Burlington-South Burlington VT
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Helena MT
Mercury PM10 STP,1996,Nanograms/cubic meter (25 C),1,Madera CA
Dichloromethane,2008,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Cadmium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Winston-Salem NC
Benzene,1991,Parts per billion Carbon,14.04,Baltimore-Columbia-Towson MD
Chromium PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Seattle-Tacoma-Bellevue WA
trans-13-Dichloropropene,2007,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Lead PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Miami-Fort Lauderdale-West Palm Beach FL
Ethylene dibromide,2009,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Nickel (TSP) STP,2001,Micrograms/cubic meter (25 C),0.0016,Detroit-Warren-Dearborn MI
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Benzene,2014,Parts per billion Carbon,0.87,San Francisco-Oakland-Hayward CA
Ethylene dichloride,2014,Parts per billion Carbon,0,Atlanta-Sandy Springs-Roswell GA
Manganese PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Seattle-Tacoma-Bellevue WA
Tetrachloroethylene,1999,Parts per billion Carbon,0,El Paso TX
12-Dichloropropane,2009,Parts per billion Carbon,0,Knoxville TN
12-Dichloropropane,2014,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0,St. George UT
Benzene,2007,Parts per billion Carbon,11.74875,Los Angeles-Long Beach-Anaheim CA
Benzene,1997,Parts per billion Carbon,4.531364,Houston-The Woodlands-Sugar Land TX
Chromium PM2.5 LC,1991,Micrograms/cubic meter (LC),0,Fort Collins CO
Chloroform,2013,Parts per billion Carbon,0.02,Columbus MS
Nickel PM2.5 LC,2000,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Acetaldehyde,2009,Parts per billion Carbon,2.68,New York-Newark-Jersey City NY-NJ-PA
12-Dichloropropane,2010,Parts per billion Carbon,0,Richmond VA
trans-13-Dichloropropene,2009,Parts per billion Carbon,0,Seattle-Tacoma-Bellevue WA
Acrolein - Unverified,2016,Parts per billion Carbon,2.46,Grand Junction CO
Chloroform,2005,Parts per billion Carbon,0.01,Lancaster PA
Nickel (TSP) STP,1990,Micrograms/cubic meter (25 C),0,Davenport-Moline-Rock Island IA-IL
1122-Tetrachloroethane,2011,Parts per billion Carbon,0,Cincinnati OH-KY-IN
Chromium (TSP) STP,2007,Micrograms/cubic meter (25 C),0,Georgetown SC
Arsenic PM2.5 LC,1999,Micrograms/cubic meter (LC),0,Elko NV
Benzene,2000,Parts per billion Carbon,1.6,Baton Rouge LA
1122-Tetrachloroethane,1991,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0,
cis-13-Dichloropropene,2009,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Chromium PM10 STP,1995,Nanograms/cubic meter (25 C),1,San Jose-Sunnyvale-Santa Clara CA
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Elko NV
Cadmium PM2.5 LC,2010,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Vinyl chloride,2003,Parts per billion Carbon,0,
Tetrachloroethylene,2001,Parts per billion Carbon,0.08,Shreveport-Bossier City LA
13-Butadiene,2004,Parts per billion Carbon,0.08,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
12-Dichloropropane,2006,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Sacramento--Roseville--Arden-Arcade CA
Vinyl chloride,2013,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Cadmium (TSP) STP,2007,Micrograms/cubic meter (25 C),0.00053,Detroit-Warren-Dearborn MI
12-Dichloropropane,2004,Parts per billion Carbon,0.02,Houston-The Woodlands-Sugar Land TX
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Tucson AZ
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Flagstaff AZ
Dichloromethane,2007,Parts per billion Carbon,0.099,New York-Newark-Jersey City NY-NJ-PA
Manganese (TSP) STP,2011,Micrograms/cubic meter (25 C),0.024,Tulsa OK
1122-Tetrachloroethane,2002,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.002,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Montgomery AL
Nickel (TSP) STP,2004,Micrograms/cubic meter (25 C),0.001,Albuquerque NM
Tetrachloroethylene,2011,Parts per billion Carbon,0.01,Minneapolis-St. Paul-Bloomington MN-WI
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Portland-Vancouver-Hillsboro OR-WA
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,Sierra Vista-Douglas AZ
Manganese PM2.5 LC,2008,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00208,Payson AZ
Mercury PM10 STP,1999,Nanograms/cubic meter (25 C),1,Bakersfield CA
Ethylene dibromide,2014,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Nickel (TSP) STP,1996,Micrograms/cubic meter (25 C),0.007,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Beaver Dam WI
12-Dichloropropane,2011,Parts per billion Carbon,0,Boston-Cambridge-Newton MA-NH
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.01,Denver-Aurora-Lakewood CO
Trichloroethylene,1997,Parts per billion Carbon,0.02,Bakersfield CA
Chloroform,2008,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Benzene,2009,Parts per billion Carbon,2.028,Memphis TN-MS-AR
Lead PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00104,Crescent City CA
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0.005,Salt Lake City UT
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Washington-Arlington-Alexandria DC-VA-MD-WV
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.004,Tucson AZ
13-Butadiene,2004,Parts per billion Carbon,0.227273,Odessa TX
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Eugene OR
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0.001,Grand Junction CO
Acetaldehyde,2000,Parts per billion Carbon,1.6,San Diego-Carlsbad CA
13-Butadiene,2001,Parts per billion Carbon,0,Milwaukee-Waukesha-West Allis WI
Ethylene dibromide,2005,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00107,Miami-Fort Lauderdale-West Palm Beach FL
Manganese PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00213,Ruidoso NM
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Kahului-Wailuku-Lahaina HI
Carbon tetrachloride,2000,Parts per billion Carbon,0.1,Duluth MN-WI
Manganese PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00063,Riverside-San Bernardino-Ontario CA
Benzene,2013,Parts per billion Carbon,1,New York-Newark-Jersey City NY-NJ-PA
Arsenic (TSP) STP,2005,Micrograms/cubic meter (25 C),0,New Orleans-Metairie LA
Nickel (TSP) STP,2003,Micrograms/cubic meter (25 C),0,
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0014,Manchester-Nashua NH
Cadmium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Houston-The Woodlands-Sugar Land TX
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0.0023,San Diego-Carlsbad CA
Benzene,1999,Parts per billion Carbon,24.97,El Paso TX
Chromium PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Elko NV
Manganese (TSP) STP,2001,Micrograms/cubic meter (25 C),0.003,Seattle-Tacoma-Bellevue WA
Dichloromethane,2009,Parts per billion Carbon,0,Marshall TX
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0.004,Pittsburgh PA
Vinyl chloride,2005,Parts per billion Carbon,0.01,Dallas-Fort Worth-Arlington TX
Arsenic (TSP) STP,1990,Micrograms/cubic meter (25 C),0,Oxnard-Thousand Oaks-Ventura CA
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Augusta-Richmond County GA-SC
cis-13-Dichloropropene,2010,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0.00078,Atlantic City-Hammonton NJ
Beryllium (TSP) STP,2006,Nanograms/cubic meter (25 C),0,New Orleans-Metairie LA
Vinyl chloride,1994,Parts per billion Carbon,0.01,Corpus Christi TX
Chromium PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Hilo HI
Arsenic PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Omaha-Council Bluffs NE-IA
Benzene,2001,Parts per billion Carbon,1.98,McAllen-Edinburg-Mission TX
13-Butadiene,2010,Parts per billion Carbon,1.040909,Beaumont-Port Arthur TX
12-Dichloropropane,2003,Parts per billion Carbon,0,Providence-Warwick RI-MA
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0,St. Louis MO-IL
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Bellingham WA
Lead PM2.5 LC,2011,Micrograms/cubic meter (LC),0.0027,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Fresno CA
Arsenic PM10 STP,2005,Nanograms/cubic meter (25 C),0.85,Chicago-Naperville-Elgin IL-IN-WI
Chromium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Adrian MI
Chromium PM2.5 LC,2000,Micrograms/cubic meter (LC),0,Grants Pass OR
Arsenic PM2.5 LC,2004,Micrograms/cubic meter (LC),0.003,Tampa-St. Petersburg-Clearwater FL
Acrolein - Verified,2011,Parts per billion Carbon,0.9,Evansville IN-KY
Benzene,2004,Parts per billion Carbon,0.6,Vallejo-Fairfield CA
1122-Tetrachloroethane,2014,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
12-Dichloropropane,2006,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0,
Arsenic (TSP) STP,2005,Micrograms/cubic meter (25 C),0.00137,Atlanta-Sandy Springs-Roswell GA
Arsenic PM2.5 LC,2016,Micrograms/cubic meter (LC),0,Rochester NY
Trichloroethylene,2008,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
13-Butadiene,2002,Parts per billion Carbon,0.5,El Paso TX
Trichloroethylene,1998,Parts per billion Carbon,0,
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,Seattle-Tacoma-Bellevue WA
Dichloromethane,2014,Parts per billion Carbon,0.08,Dallas-Fort Worth-Arlington TX
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.003,Mobile AL
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.002,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Lead PM2.5 LC,2001,Micrograms/cubic meter (LC),0.0051,Baton Rouge LA
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0038,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Acrolein - Verified,2016,Parts per billion Carbon,0.7,Chicago-Naperville-Elgin IL-IN-WI
Cadmium (TSP) STP,2004,Micrograms/cubic meter (25 C),0,Warner Robins GA
Formaldehyde,2006,Parts per billion Carbon,4.95,Los Angeles-Long Beach-Anaheim CA
Chromium PM2.5 LC,1995,Micrograms/cubic meter (LC),0,Riverside-San Bernardino-Ontario CA
Nickel PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Huntington-Ashland WV-KY-OH
Chromium PM2.5 LC,2016,Micrograms/cubic meter (LC),0,
Carbon tetrachloride,2008,Parts per billion Carbon,0.1,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Arsenic PM2.5 LC,1999,Micrograms/cubic meter (LC),0.00039,
Benzene,2003,Parts per billion Carbon,4.7075,Dallas-Fort Worth-Arlington TX
Dichloromethane,2008,Parts per billion Carbon,0.05,Burlington-South Burlington VT
Benzene,2016,Parts per billion Carbon,1.763636,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Benzene,2010,Parts per billion Carbon,1.62,Dallas-Fort Worth-Arlington TX
Dichloromethane,2016,Parts per billion Carbon,0.1,Chicago-Naperville-Elgin IL-IN-WI
Benzene,2009,Parts per billion Carbon,0.375417,Washington-Arlington-Alexandria DC-VA-MD-WV
Tetrachloroethylene,2015,Parts per billion Carbon,0,Pittsburgh PA
Benzene,2016,Parts per billion Carbon,0.211017,San Francisco-Oakland-Hayward CA
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Montgomery AL
Tetrachloroethylene,2012,Parts per billion Carbon,0.02,Marshall TX
cis-13-Dichloropropene,2003,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
13-Butadiene,2009,Parts per billion Carbon,0.08,Fresno CA
Carbon tetrachloride,1994,Parts per billion Carbon,4.81,Chicago-Naperville-Elgin IL-IN-WI
Ethylene dichloride,2008,Parts per billion Carbon,0,Midland MI
Nickel (TSP) STP,2006,Micrograms/cubic meter (25 C),0,Florence SC
Vinyl chloride,2001,Parts per billion Carbon,0,Providence-Warwick RI-MA
cis-13-Dichloropropene,2003,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Lead PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0206,Birmingham-Hoover AL
Arsenic PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Torrington CT
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Holland MI
Nickel PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Holland MI
trans-13-Dichloropropene,2013,Parts per billion Carbon,0.36,Stockton-Lodi CA
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.00061,Grants Pass OR
13-Butadiene,2015,Parts per billion Carbon,0,
Beryllium PM10 STP,2012,Nanograms/cubic meter (25 C),0,Marshall TX
